                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.66859,                0.95029,                0.52661,                0.87694,                0.99477,                      1,                  0.995,                0.78494,                0.99477,                      1,                  0.995,                0.79789,                0.92262,                 1.1674,                0.58966,                0.91034,              0.0002378,              0.0002378,              0.0002378
                     91,                0.68081,                0.93215,                 0.5447,                0.89682,                0.99461,                      1,                  0.995,                0.79499,                0.99461,                      1,                  0.995,                0.79788,                0.92096,                 1.1796,                0.58875,                0.90725,               0.000218,               0.000218,               0.000218
                     92,                0.70591,                0.95355,                0.52262,                0.86679,                0.99456,                      1,                  0.995,                0.79459,                0.99456,                      1,                  0.995,                0.79888,                0.92274,                 1.1994,                0.57211,                0.90992,              0.0001982,              0.0001982,              0.0001982
                     93,                0.62558,                 0.9401,                0.52805,                0.86318,                0.99463,                      1,                  0.995,                0.78227,                0.99463,                      1,                  0.995,                0.80183,                0.93014,                 1.2138,                0.58022,                0.90969,              0.0001784,              0.0001784,              0.0001784
                     94,                0.68808,                 0.9036,                0.52639,                0.85681,                0.99457,                      1,                  0.995,                0.78527,                0.99457,                      1,                  0.995,                0.80088,                0.92905,                 1.2185,                0.58423,                0.91028,              0.0001586,              0.0001586,              0.0001586
                     95,                0.66272,                0.90917,                0.50818,                0.85537,                0.99445,                      1,                  0.995,                 0.7846,                0.99445,                      1,                  0.995,                0.80088,                0.92638,                 1.2166,                0.57736,                0.90837,              0.0001388,              0.0001388,              0.0001388
                     96,                0.61183,                0.94171,                0.49462,                0.84426,                0.99455,                      1,                  0.995,                0.79434,                0.99455,                      1,                  0.995,                0.79613,                0.93024,                 1.2254,                0.57578,                 0.9086,               0.000119,               0.000119,               0.000119
                     97,                0.65844,                0.86876,                 0.5061,                0.86561,                0.99445,                      1,                  0.995,                0.79434,                0.99445,                      1,                  0.995,                0.79613,                 0.9276,                 1.2309,                 0.5799,                0.90696,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.66449,                0.88716,                0.52143,                0.88707,                0.99445,                      1,                  0.995,                0.79159,                0.99445,                      1,                  0.995,                0.80307,                0.92554,                 1.2304,                0.57656,                0.90661,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 0.6492,                0.94726,                0.52597,                0.89061,                0.99441,                      1,                  0.995,                0.79159,                0.99441,                      1,                  0.995,                 0.8046,                0.92709,                 1.2273,                 0.5777,                0.90787,               5.96e-05,               5.96e-05,               5.96e-05
